rating,date,comment,raw_word_count,language,clean_comment,year_month,clean_word_count,subjectivity_score
5.0,2026-01-03,"I loved the characters, the sweet story and the colorful city!",11,en,loved character sweet story colorful city,2026-01,6,5.7352657236722
5.0,2025-12-31,This is the best Disney movie I've seen!!!!!!!,8,en,best disney movie seen,2025-12,4,3.6159207966552636
3.0,2025-12-30,Ok because it is about this bunny called Judy Hops and she becomes a police officer and she meets this fox called Nick and they have to stop the criminal that makes animals savage ok movie 7/10,37,en,ok bunny called judy hop becomes police officer meet fox called nick stop criminal make animal savage ok movie,2025-12,19,3.3501492363225265
5.0,2025-12-27,Amazing movie with hilarious jokes,5,en,amazing movie hilarious joke,2025-12,4,10.151667069135778
4.5,2025-12-27,This is a very good movie that anyone can enjoy,10,en,good movie anyone enjoy,2025-12,4,4.3492455994753
4.5,2025-12-27,"An unexpected plesant surprise. The color, animation and imagination were as good as it gets.",15,en,unexpected plesant surprise color animation imagination good get,2025-12,8,4.07402769050474
5.0,2025-12-25,My favorite Disney movie same with wreck it Ralph,9,en,favorite disney movie wreck ralph,2025-12,5,4.860577841756598
5.0,2025-12-22,Gave me so many memories.,5,en,gave many memory,2025-12,3,2.692663004449857
5.0,2025-12-21,Great film and good detail.,5,en,great film good detail,2025-12,4,4.753727168888411
5.0,2025-12-18,"If like me you arent usually a huge fan of animated movies, i mean youll love this. Genuinely its written really well and most of the jokes land pretty good too.",31,en,like arent usually huge fan animated movie mean youll love genuinely written really well joke land pretty good,2025-12,18,4.788335123198935
4.5,2025-12-15,Cute family friendly movie. Really entertaining.,6,en,cute family friendly movie really entertaining,2025-12,6,4.559715737605505
4.0,2025-12-15,Definitely a good movie. The story was well written in my opinion with some good twists and emotional beats. Some of the jokes weren't that funny though. Definitely recommend watching it with someone else because it makes it more fun,40,en,definitely good movie story well written opinion good twist emotional beat joke funny though definitely recommend watching someone else make fun,2025-12,21,4.471633680934515
5.0,2025-12-13,"The characters of the movie are amazing nd each character is amazing in its own way.LOVED THE MOVIE, i have watched it atleast 5 times now.The plot twists in this movie are mind blowing.",34,en,character movie amazing nd character amazing way loved movie watched atleast time plot twist movie mind blowing,2025-12,17,4.142768832378709
4.0,2025-12-12,"Zootopia is a modern classic of Disney animation, packed with energetic visuals, incredible voice acting, and a world that feels instantly alive. Its world-building is clever and layered, supporting a genuinely engaging central mystery that keeps the story moving. The final villain is a bit underwhelming, keeping it just shy of Disney’s very best—but it’s absolutely worth the watch, and the Shakira song is an undeniable banger.",67,en,zootopia modern classic disney animation packed energetic visuals incredible voice acting world feel instantly alive world building clever layered supporting genuinely engaging central mystery keep story moving final villain bit underwhelming keeping shy disney best absolutely worth watch shakira song undeniable banger,2025-12,42,4.14619630300705
4.0,2025-12-12,It's so entertaining and carries great messages. But the way it establishes the predator-prey conflict as bias still has some issues. There is stuff in it that is better not to think too much about in so many ways.,39,en,entertaining carry great message way establishes predator prey conflict bias still issue stuff better think much many way,2025-12,18,3.6825283810104645
3.5,2025-12-11,"Besides the ending, at least it's a watchable movie",9,en,besides ending least watchable movie,2025-12,5,4.152068872370688
5.0,2025-12-10,Love this movie. It’s so cute. Haven’t seen it since it first came out. I ship nick and Judy so hard.. 😬.,22,en,love movie cute seen since first came ship nick judy hard,2025-12,11,4.251053211392063
